,Unnamed: 0,Incident ID,Incident Date,year,State,City Or County,Address,Killed,Injured,Operations
87,91,739107,December 31,2016,Minnesota,Mankato,1900 Premier Dr,1,0,"View Incident
View Source"
87,91,1018257,December 31,2017,South Carolina,Greenville,115 Rasor Dr,1,0,"View Incident
View Source"
88,92,479130,December 31,2015,Alabama,Selma,1600 block of Maple Street,1,0,"View Incident
View Source"
88,92,1019673,December 31,2017,Florida,Fort Pierce,300 Block of N 31st St,0,0,"View Incident
View Source"
88,92,1289200,December 31,2018,Indiana,Fort Wayne,9200 block of Springbreeze Ct,0,1,"View Incident
View Source"
88,92,1505425,September 16,2019,New Hampshire,Manchester,Green St and Union St,0,0,"View Incident
View Source"
88,92,739734,December 31,2016,Arkansas,Black Rock,188 Lawrence County Road 221,1,0,"View Incident
View Source"
89,93,1505418,September 16,2019,Texas,Sanger,4300 block of View Rd,1,0,"View Incident
View Source"
89,93,476542,December 31,2015,California,Oakland,6500 block of Foothill Boulevard,0,2,"View Incident
View Source"
89,93,741194,December 31,2016,North Carolina,Morgantown,Havenwood Dr,0,1,"View Incident
View Source"
89,93,1018252,December 31,2017,South Carolina,Columbia,Coley Rd,1,0,"View Incident
View Source"
89,93,1289294,December 31,2018,Indiana,Fort Wayne,E Williams St and Lafayette St,1,0,"View Incident
View Source"
90,94,739039,December 31,2016,Florida,Jacksonville,5200 Anisa Ct,0,0,"View Incident
View Source"
90,94,1289271,December 31,2018,Georgia,Lawrenceville,1874 Riverlanding Cir,2,0,"View Incident
View Source"
90,94,476058,December 31,2015,Connecticut,Bridgeport,,0,0,"View Incident
View Source"
90,94,1505349,September 16,2019,Missouri,Saint Louis,400 block of Thrift Ave,1,0,"View Incident
View Source"
90,94,1019128,December 31,2017,California,West Sacramento,1050 W Capitol Ave,3,0,"View Incident
View Source"
91,95,1506313,September 16,2019,Missouri,Monett,1 David Sippy Dr,1,0,"View Incident
View Source"
91,95,1019120,December 31,2017,Indiana,Evansville,1500 Joyce Ave,0,1,"View Incident
View Source"
91,95,1289721,December 31,2018,Ohio,Columbus,1371 Cleveland Ave,0,1,"View Incident
View Source"
91,95,742566,December 31,2016,California,Monterey (county),218 Boronda Road,1,0,"View Incident
View Source"
91,95,476536,December 31,2015,Florida,Charlotte (county),Mary Street and Helen Street,0,0,"View Incident
View Source"
92,96,476529,December 31,2015,New Jersey,Jersey City,Clerk Street,0,0,"View Incident
View Source"
92,96,1505397,September 16,2019,California,Apple Valley,20000 block of Sitting Bull Rd,0,1,"View Incident
View Source"
92,96,1017377,December 31,2017,California,Winnetka,6900 block of Oakdale Ave,0,1,"View Incident
View Source"
92,96,739038,December 31,2016,Florida,Jacksonville,2700 Forbes St,0,0,"View Incident
View Source"
92,96,1292429,December 31,2018,Florida,Fruitland Park,US 27,0,0,"View Incident
View Source"
93,97,1505383,September 16,2019,California,Fresno,2700 block of W Fairmont Ave,0,1,"View Incident
View Source"
93,97,1017799,December 31,2017,California,Vallejo,Tennessee St and Tuolumne St,0,0,"View Incident
View Source"
93,97,1289441,December 31,2018,California,Wilmington,325 N Neptune Ave,0,1,"View Incident
View Source"
93,97,476519,December 31,2015,Illinois,Chicago,6200 block of South Martin Luther King Jr. Drive,0,1,"View Incident
View Source"
93,97,739037,December 31,2016,Florida,Jacksonville,2900 Carleon Rd,0,0,"View Incident
View Source"
94,98,476503,December 31,2015,Illinois,Chicago,1000 block of North Lorel Avenue,0,2,"View Incident
View Source"
94,98,1506304,September 16,2019,Alabama,Montgomery,3600 block of Debby Dr,0,3,"View Incident
View Source"
94,98,1289015,December 31,2018,Oklahoma,Oklahoma City,2116 SW 59th St,0,0,"View Incident
View Source"
94,98,739036,December 31,2016,Florida,Jacksonville,4200 S Homer Rd,0,0,"View Incident
View Source"
94,98,1018855,December 31,2017,Georgia,Lithia Springs,,0,0,"View Incident
View Source"
95,99,1289543,December 31,2018,Wisconsin,Milwaukee,W Mitchell St and S 1st St,1,0,"View Incident
View Source"
95,99,1505364,September 16,2019,Massachusetts,Springfield,Mill St,0,1,"View Incident
View Source"
95,99,476502,December 31,2015,Florida,Fort Myers,3710 Nelson Tillis Boulevard,0,0,"View Incident
View Source"
95,99,739035,December 31,2016,Florida,Jacksonville,Rocky Creek Dr and Shiloh Creek Dr,0,0,"View Incident
View Source"
95,99,1022645,December 31,2017,Illinois,Kankakee,1000 E Willow S,0,0,"View Incident
View Source"
96,100,1505346,September 16,2019,Missouri,Saint Louis,N Grand Blvd and Kossuth Ave,0,2,"View Incident
View Source"
96,100,476490,December 31,2015,Tennessee,Jackson,Hale Street,0,1,"View Incident
View Source"
96,100,739032,December 31,2016,Florida,Jacksonville,118th St and Ricker Rd,0,0,"View Incident
View Source"
96,100,1020748,December 31,2017,Texas,Houston,,0,0,"View Incident
View Source"
96,100,1294338,December 31,2018,North Carolina,Rocky Mount,600 block of Woodland Ave,0,1,"View Incident
View Source"
97,101,476486,December 31,2015,California,Burbank,200 block of West Verdugo Avenue,0,1,"View Incident
View Source"
97,101,1300872,December 31,2018,Wisconsin,Milwaukee,W Mitchell St and S 23rd St,0,0,"View Incident
View Source"
97,101,1505328,September 16,2019,Wisconsin,Milwaukee,10300 block of West Fond du Lac Ave,0,2,"View Incident
View Source"
97,101,1019097,December 31,2017,Ohio,Youngstown,700 block of Cassius Ave,0,0,"View Incident
View Source"
97,101,739029,December 31,2016,Florida,Jacksonville,200 Park St,0,0,"View Incident
View Source"
98,102,1019095,December 31,2017,Ohio,Youngstown,3600 block of Neilson Ave,0,0,"View Incident
View Source"
98,102,476482,December 31,2015,Maryland,Baltimore,North Poppleton Street,1,0,"View Incident
View Source"
98,102,1289653,December 31,2018,Illinois,Elk Grove Village,Smethwick Ln and Brantwood Ave,0,1,"View Incident
View Source"
98,102,1506295,September 16,2019,New York,Ithaca,Chestnut St,0,0,"View Incident
View Source"
98,102,739028,December 31,2016,Florida,Jacksonville,2000 W Las Brisas Way,0,0,"View Incident
View Source"
99,103,1018845,December 31,2017,Colorado,Fort Lupton,200 block of McKinley Ave,0,1,"View Incident
View Source"
99,103,476566,December 31,2015,Virginia,Newport News,1100 block of 28th Street,0,1,"View Incident
View Source"
99,103,1288974,December 31,2018,North Carolina,Burlington,700 block of Elizabeth St,0,0,"View Incident
View Source"
99,103,739027,December 31,2016,Florida,Jacksonville,Homer Rd and Alaro Rd,0,0,"View Incident
View Source"
99,103,1505165,September 16,2019,Florida,Valrico,2504 Siena Way,1,1,"View Incident
View Source"
100,105,739025,December 31,2016,California,Stockton,300 block of West Oak Street,0,0,"View Incident
View Source"
100,105,1290823,December 31,2018,Georgia,Thomasville,110 Lucy St,0,0,"View Incident
View Source"
100,105,479074,December 31,2015,New Jersey,Paterson,North Main,0,0,"View Incident
View Source"
100,105,1505300,September 16,2019,Michigan,Detroit,6500 block of Wagner St,0,1,"View Incident
View Source"
100,105,1018224,December 31,2017,New Jersey,Camden,600 block of Woodland St,1,0,"View Incident
View Source"
101,106,475982,December 31,2015,Florida,Daytona Beach,309 Pearl St,2,1,"View Incident
View Source"
101,106,1289865,December 31,2018,Tennessee,Memphis (Bartlett),3300 block of Summerhill Dr,1,1,"View Incident
View Source"
101,106,1505277,September 16,2019,Nevada,Las Vegas,4400 Thompson Circle,2,0,"View Incident
View Source"
101,106,1017510,December 31,2017,Washington,Renton,3200 block of SE 12th St,0,2,"View Incident
View Source"
101,106,739724,December 31,2016,California,Sacramento,1900 block of Expedition Way,0,1,"View Incident
View Source"
102,107,1505291,September 16,2019,Kansas,Topeka,,0,1,"View Incident
View Source"
102,107,479070,December 31,2015,New Jersey,Paterson,North Main,0,0,"View Incident
View Source"
102,107,1289246,December 31,2018,Missouri,Saint Louis,Shepley Dr,0,2,"View Incident
View Source"
102,107,1019212,December 31,2017,Kentucky,Robards,11000 block of US 41,0,1,"View Incident
View Source"
102,107,739310,December 31,2016,Kentucky,Louisville,2300 block of Griffiths Avenue,0,1,"View Incident
View Source"
103,108,477119,December 31,2015,Tennessee,Cordova,1600 block of Beaver Trail Drive,0,0,"View Incident
View Source"
103,108,1291099,December 31,2018,Missouri,Eldon,Sandstone Rd,0,1,"View Incident
View Source"
103,108,1069150,December 31,2017,Delaware,Wilmington,1300 block of Banning St,0,0,"View Incident
View Source"
103,108,1505286,September 16,2019,Connecticut,Ansonia,Fourth St and Fifth St,0,1,"View Incident
View Source"
103,108,740172,December 31,2016,Michigan,Detroit,13000 block of Kilbourne,0,1,"View Incident
View Source"
104,109,1505319,September 16,2019,Alabama,Tuscaloosa,17th St and 33rd Ave,1,1,"View Incident
View Source"
104,109,1288925,December 31,2018,South Carolina,Columbia,300 block of McRae St,1,0,"View Incident
View Source"
104,109,525030,December 31,2015,Illinois,Chicago,,0,0,"View Incident
View Source"
104,109,1018216,December 31,2017,North Carolina,Sanford,590 Nicole Dr,0,1,"View Incident
View Source"
104,109,742539,December 31,2016,Georgia,Atlanta,Boynton Avenue and Martin Street SE,0,0,"View Incident
View Source"
105,110,1289903,December 31,2018,Indiana,Indianapolis,300 block of S Temple Dr,0,1,"View Incident
View Source"
105,110,1017652,December 31,2017,Ohio,Mechanicsburg,9800 block of Loveless Rd,1,1,"View Incident
View Source"
105,110,740719,December 31,2016,Oregon,Grants Pass,Robertson Bridge Rd,1,0,"View Incident
View Source"
105,110,476439,December 31,2015,Pennsylvania,Pittsburgh,1921 Brownsville Road,0,1,"View Incident
View Source"
105,110,1506267,September 16,2019,California,Yuba City,CA-99 and Franklin Rd,0,1,"View Incident
View Source"
106,111,1505282,September 16,2019,New York,New York (Manhattan),Mt Morris Park W and W 122nd St,0,1,"View Incident
View Source"
106,111,479049,December 31,2015,New Jersey,Wildwood,4600 block of Park Boulevard,0,0,"View Incident
View Source"
106,111,742532,December 31,2016,Texas,Marshall,2100 block of Holland St,0,0,"View Incident
View Source"
106,111,1021518,December 31,2017,New Mexico,Mesilla Park,9000 block of Clovis Rd,0,0,"View Incident
View Source"
106,111,1289352,December 31,2018,Mississippi,Natchez,State Park Rd,0,0,"View Incident
View Source"
107,112,483045,December 31,2015,New York,Brentwood,Brentwood Parkway,0,1,"View Incident
View Source"
107,112,1290782,December 31,2018,Kentucky,Gray,Emanuel Hollow Rd,0,0,"View Incident
View Source"
107,112,1019407,December 31,2017,Ohio,Dayton (West Carrollton),300 block of Enxing Ave,2,0,"View Incident
View Source"
107,112,742530,December 31,2016,Texas,Marshall,3000 block of Brimm Street,0,0,"View Incident
View Source"
107,112,1506217,September 16,2019,Michigan,Detroit,3400 block of Fischer St,0,1,"View Incident
View Source"
108,113,742478,December 31,2016,Michigan,Battle Creek,637 Hubbard St,0,0,"View Incident
View Source"
108,113,1018195,December 31,2017,Michigan,Detroit,Gratiot and 7 Mile,0,1,"View Incident
View Source"
108,113,481372,December 31,2015,Florida,Hollywood (West Park),5800 block of SW 27th St,1,0,"View Incident
View Source"
108,113,1290143,December 31,2018,Nebraska,Elba (Cotesfield),Dannevirke Rd and Page Rd,0,1,"View Incident
View Source"
108,113,1505389,September 16,2019,California,San Diego,3300 block of National Ave,0,1,"View Incident
View Source"
109,114,1290065,December 31,2018,Michigan,Benton Harbor,2000 block of Colfax Ave,1,0,"View Incident
View Source"
109,114,738979,December 31,2016,Arizona,Phoenix,6600 W Van Buren Street,1,0,"View Incident
View Source"
109,114,1504844,September 16,2019,California,San Jose,Stewart Ave,1,0,"View Incident
View Source"
109,114,1018193,December 31,2017,Michigan,Detroit,Dix and Woodmere,0,1,"View Incident
View Source"
109,114,475997,December 31,2015,Florida,Clermont,,0,1,"View Incident
View Source"
110,115,1505343,September 16,2019,Kansas,Kansas City,2500 block of N 73rd Pl,0,2,"View Incident
View Source"
110,115,1289155,December 31,2018,Indiana,Indianapolis,Hiatt St and Miller St,1,0,"View Incident
View Source"
110,115,1019420,December 31,2017,Washington,Seattle,,0,0,"View Incident
View Source"
110,115,738715,December 31,2016,Georgia,Cumming,211 Atlanta Rd,0,0,"View Incident
View Source"
110,115,493594,December 31,2015,Ohio,Akron,800 block of East Crosier Street,0,1,"View Incident
View Source"
111,116,757693,December 31,2015,Louisiana,Ragley,Papania Rd,1,0,"View Incident
View Source"
111,116,1288841,December 31,2018,Tennessee,Greeneville,805 Willis Dr,0,0,"View Incident
View Source"
111,116,1018104,December 31,2017,Illinois,Chicago,11500 S State St,0,2,"View Incident
View Source"
111,116,748071,December 31,2016,Florida,Crestview,SR 85,0,0,"View Incident
View Source"
111,116,1506230,September 16,2019,Florida,Spring Hill,220 Spring Haven Loop,0,0,"View Incident
View Source"
112,117,747138,December 31,2016,Kansas,Salina,1400 block of Pershing St,0,0,"View Incident
View Source"
112,117,1505265,September 16,2019,Michigan,Benton Harbor,1351 Agard Ave,0,1,"View Incident
View Source"
112,117,1289686,December 31,2018,Ohio,Cleveland,4462 Denison Ave,3,2,"View Incident
View Source"
112,117,477147,December 31,2015,New York,Brooklyn,1595 Canarsie Road,0,0,"View Incident
View Source"
112,117,1018172,December 31,2017,New York,Buffalo,100 block of Oakmont Ave,0,1,"View Incident
View Source"
113,118,476866,December 31,2015,Florida,Wildwood,High Street,0,2,"View Incident
View Source"
113,118,1289025,December 31,2018,North Carolina,Winston Salem (Winston-salem),Parkview Ct,1,0,"View Incident
View Source"
113,118,1506215,September 16,2019,California,Merced,Hwy 59,0,1,"View Incident
View Source"
113,118,1018157,December 31,2017,Florida,Fort Lauderdale (Lauderhill),5300 Block of NW 17th Ct,1,0,"View Incident
View Source"
113,118,739703,December 31,2016,North Carolina,Durham,9700 block of S Lowell St,0,1,"View Incident
View Source"
114,119,476230,December 31,2015,Nevada,Las Vegas,8300 block of Gilded Crown Ct,1,0,"View Incident
View Source"
114,119,1288870,December 31,2018,Georgia,Atlanta,176 Fairburn Rd,0,1,"View Incident
View Source"
114,119,1505315,September 16,2019,Michigan,Garden City,Belton St,0,2,"View Incident
View Source"
114,119,1018168,December 31,2017,New York,Rochester,Walnut St,0,0,"View Incident
View Source"
114,119,739699,December 31,2016,Louisiana,Marrero,1101 Medical Center Blvd,0,1,"View Incident
View Source"
115,120,1504839,September 16,2019,California,Santa Ana,1500 block of N Bristol St,1,0,"View Incident
View Source"
115,120,480276,December 31,2015,Missouri,Saint Louis,Bascom Dr,0,1,"View Incident
View Source"
115,120,1018786,December 31,2017,Virginia,Norfolk,300 block of Virginian Dr,1,1,"View Incident
View Source"
115,120,1289339,December 31,2018,Louisiana,Denham Springs,Lotts Ln,1,0,"View Incident
View Source"
115,120,749001,December 31,2016,Pennsylvania,Philadelphia,800 block of E Washington Ln,0,0,"View Incident
View Source"
116,121,1019018,December 31,2017,Mississippi,Tupelo,Spring Street,0,1,"View Incident
View Source"
116,121,1289845,December 31,2018,Ohio,Cleveland,Kinsman Rd and Grand Ave,0,1,"View Incident
View Source"
